ticker,crypto_name,token_id,
GFI,GOLDFINCH,goldfinch
PLU,PLUTON,pluton
UPI,PAWTOCOL,pawtocol
AVT,AVENTUS,aventus
CTX,CRYPTEX,cryptex-finance
FARM,HARVEST FINANCE,harvest-finance
QUICK,QUICK SWAP,quick
DNT,DISTRICT0X,district0x
COVAL,CIRCUITS OF VALUE,circuits-of-value
FOX,FARMERS ONLY,farmers-only
FIDA,BONFIDA,bonfida
YFII,DFI.MONEY,yfii-finance
FORTH,AMPLEFORTH GOVERNANCE TOKEN,ampleforth-governance-token
LOOM,LOOM NETWORK,loom-network-new
LCX,ALCHEMIX,alchemix
GTC,GITCOIN,gitcoin
AGLD,ADVENTURE GOLD,adventure-gold
BAL,BALANCER,balancer
ARPA,ARPA CHAIN,arpa-chain
PRO,PROPY,propy
IDEX,IDEX,aurora-dao
CLV,CLOVER FINANCE,clover-finance
KNC,KYBER NETWORK,kyber-network-crystal
MCO2,MOSS CARBON CREDIT,moss-carbon-credit
ORCA,ORCA,orca
WCFG,WRAPPED CENTRIFUGE,wrapped-centrifuge
WLUNA,WRAPPED LUNA TOKEN,luna-wormhole
GYEN,GYEN,gyen
UNFI,UNIFI PROTOCOL DAO,unifi-protocol-dao
INV,INVERSE FINANCE,inverse-finance
AUCTION,BOUNCE TOKEN,auction
SUKU,SUKU,suku
KRL,KRYLL,kryll
GODS,GODS UNCHAINED,gods-unchained
SHPING,SHPING,shping
MUSD,MSTABLE USD,musd
MDT,MEASUREABLE DATA TOKEN,measurable-data-token
QSP,QUANTSTAMP,quantstamp
LQTY,LIQUITY,liquity
BOND,BARNBRIDGE,barnbridge
TRB,TELLOR,tellor
ASM,ASSEMBLE PROTOCOL,assemble-protocol
NCT,POLYSWARM,polyswarm